二分k-means的聚类后的质心
第1个质心为：[[5.66634158 2.32713105 2.34596829 1.23555396]]
第2个质心为：[[5.79714303 2.52272632 6.09696109 2.21276629]]
第3个质心为：[[7.13406605 2.44192342 6.06867267 1.65025568]]
聚类结果:
第1个属性被归类为：0       距离为：3.0072600351369587
第102个属性被归类为：2       距离为：0.5433303832964211
第103个属性被归类为：1       距离为：0.8125469021690304
第104个属性被归类为：1       距离为：0.8101469631305018
第105个属性被归类为：2       距离为：1.013122594323516
第106个属性被归类为：0       距离为：5.472725811377139
第107个属性被归类为：2       距离为：0.31330392168371246
第108个属性被归类为：2       距离为：0.28639459119374616
第109个属性被归类为：2       距离为：2.068535453551567
第110个属性被归类为：1       距离为：1.9919084770198778
第111个属性被归类为：1       距离为：1.1278322195158805
第112个属性被归类为：2       距离为：0.94870814997372
第113个属性被归类为：1       距离为：1.2585463775907466
第114个属性被归类为：1       距离为：1.1058767352531735
第115个属性被归类为：1       距离为：1.4648928738792626
第116个属性被归类为：2       距离为：1.0593011925492284
第117个属性被归类为：2       距离为：2.8654462397619285
第118个属性被归类为：2       距离为：1.4585422462780855
第119个属性被归类为：1       距离为：1.8566626391682983
第120个属性被归类为：2       距离为：1.1875542303323607
第121个属性被归类为：1       距离为：1.5937314111547123
第122个属性被归类为：2       距离为：0.9693953549935715
第123个属性被归类为：1       距离为：1.8873829536305229
第124个属性被归类为：2       距离为：1.2628982411946748
第125个属性被归类为：2       距离为：0.606166680565773
第126个属性被归类为：1       距离为：2.0916585134684684
第127个属性被归类为：1       距离为：1.9226043744015604
第128个属性被归类为：1       距离为：0.7000037877512622
第129个属性被归类为：2       距离为：0.39050738935766005
第130个属性被归类为：2       距离为：0.26229332541100964
第131个属性被归类为：2       距离为：2.6631256920110435
第132个属性被归类为：1       距离为：0.6874505302633439
第133个属性被归类为：2       距离为：1.7847885267801993
第134个属性被归类为：1       距离为：1.0052529317136751
第135个属性被归类为：2       距离为：1.0548797777837533
第136个属性被归类为：1       距离为：1.3045010415565754
第137个属性被归类为：1       距离为：1.2234199886879817
第138个属性被归类为：1       距离为：2.121425197376495
第139个属性被归类为：2       距离为：1.1372447884684436
第140个属性被归类为：2       距离为：1.403248733075852
第141个属性被归类为：2       距离为：1.8483461157137113
第142个属性被归类为：1       距离为：1.123188285829755
第143个属性被归类为：2       距离为：1.1368983741173908
第144个属性被归类为：1       距离为：1.6593864089577064
第145个属性被归类为：2       距离为：1.6766226880684578
第146个属性被归类为：1       距离为：1.5545280045326515
第147个属性被归类为：1       距离为：1.5716067854099236
第148个属性被归类为：1       距离为：1.4252673399033573
第149个属性被归类为：1       距离为：1.402677148815705
